table_name,description
finsc_ledger_rep,''
finsc_ledger_t,''
hrrp_directory,''
matdoc,''
finsc_ledger,''
prcd_elements,''
hrrp_nodet,''
hrrp_node,''
acdoca,''
finsc_ld_cmp,''
